******************      Log   20210915       ******************
15/09/2021 07:01:52 ==>  Ejecutando Intervalo: 2021-09-15T11:00:00/2021-09-15T12:00:00 || Total Conversaciones:3 || Page: 1
15/09/2021 07:01:53 ==>  Intervalo: 2021-09-15T11:00:00/2021-09-15T12:00:00 || FINALIZADO || Total Conversaciones: 3
15/09/2021 08:38:58 ==>  Ejecutando Intervalo: 2021-09-15T12:00:00/2021-09-15T13:00:00 || Total Conversaciones:1152 || Page: 1
15/09/2021 08:39:10 ==>  Ejecutando Intervalo: 2021-09-15T12:00:00/2021-09-15T13:00:00 || Total Conversaciones:1152 || Page: 2
15/09/2021 08:39:22 ==>  Ejecutando Intervalo: 2021-09-15T12:00:00/2021-09-15T13:00:00 || Total Conversaciones:1152 || Page: 3
15/09/2021 08:39:33 ==>  Ejecutando Intervalo: 2021-09-15T12:00:00/2021-09-15T13:00:00 || Total Conversaciones:1152 || Page: 4
15/09/2021 08:39:44 ==>  Ejecutando Intervalo: 2021-09-15T12:00:00/2021-09-15T13:00:00 || Total Conversaciones:1152 || Page: 5
15/09/2021 08:39:53 ==>  Ejecutando Intervalo: 2021-09-15T12:00:00/2021-09-15T13:00:00 || Total Conversaciones:1152 || Page: 6
15/09/2021 08:40:05 ==>  Ejecutando Intervalo: 2021-09-15T12:00:00/2021-09-15T13:00:00 || Total Conversaciones:1152 || Page: 7
15/09/2021 08:40:15 ==>  Ejecutando Intervalo: 2021-09-15T12:00:00/2021-09-15T13:00:00 || Total Conversaciones:1152 || Page: 8
15/09/2021 08:40:25 ==>  Ejecutando Intervalo: 2021-09-15T12:00:00/2021-09-15T13:00:00 || Total Conversaciones:1152 || Page: 9
15/09/2021 08:40:34 ==>  Ejecutando Intervalo: 2021-09-15T12:00:00/2021-09-15T13:00:00 || Total Conversaciones:1152 || Page: 10
15/09/2021 08:40:45 ==>  Ejecutando Intervalo: 2021-09-15T12:00:00/2021-09-15T13:00:00 || Total Conversaciones:1152 || Page: 11
15/09/2021 08:40:54 ==>  Ejecutando Intervalo: 2021-09-15T12:00:00/2021-09-15T13:00:00 || Total Conversaciones:1152 || Page: 12
15/09/2021 08:40:58 ==>  Intervalo: 2021-09-15T12:00:00/2021-09-15T13:00:00 || FINALIZADO || Total Conversaciones: 1152
