******************      Log   20210819       ******************
19/08/2021 13:46:55 ==>  Ejecutando Intervalo: 2021-08-18T14:00:00/2021-08-18T15:00:00 || Total Conversaciones:320 || Page: 1
19/08/2021 13:47:04 ==>  Ejecutando Intervalo: 2021-08-18T14:00:00/2021-08-18T15:00:00 || Total Conversaciones:320 || Page: 2
19/08/2021 13:47:13 ==>  Ejecutando Intervalo: 2021-08-18T14:00:00/2021-08-18T15:00:00 || Total Conversaciones:320 || Page: 3
19/08/2021 13:47:21 ==>  Ejecutando Intervalo: 2021-08-18T14:00:00/2021-08-18T15:00:00 || Total Conversaciones:320 || Page: 4
19/08/2021 13:47:23 ==>  Intervalo: 2021-08-18T14:00:00/2021-08-18T15:00:00 || FINALIZADO || Total Conversaciones: 320
19/08/2021 13:48:49 ==>  Ejecutando Intervalo: 2021-08-18T15:00:00/2021-08-18T16:00:00 || Total Conversaciones:305 || Page: 1
19/08/2021 13:48:58 ==>  Ejecutando Intervalo: 2021-08-18T15:00:00/2021-08-18T16:00:00 || Total Conversaciones:305 || Page: 2
19/08/2021 13:49:07 ==>  Ejecutando Intervalo: 2021-08-18T15:00:00/2021-08-18T16:00:00 || Total Conversaciones:305 || Page: 3
19/08/2021 13:49:15 ==>  Ejecutando Intervalo: 2021-08-18T15:00:00/2021-08-18T16:00:00 || Total Conversaciones:305 || Page: 4
19/08/2021 13:49:15 ==>  Intervalo: 2021-08-18T15:00:00/2021-08-18T16:00:00 || FINALIZADO || Total Conversaciones: 305
19/08/2021 15:02:16 ==>  Ejecutando Intervalo: 2021-08-18T16:00:00/2021-08-18T17:00:00 || Total Conversaciones:387 || Page: 1
19/08/2021 15:02:25 ==>  Ejecutando Intervalo: 2021-08-18T16:00:00/2021-08-18T17:00:00 || Total Conversaciones:387 || Page: 2
19/08/2021 15:02:34 ==>  Ejecutando Intervalo: 2021-08-18T16:00:00/2021-08-18T17:00:00 || Total Conversaciones:387 || Page: 3
19/08/2021 15:02:42 ==>  Ejecutando Intervalo: 2021-08-18T16:00:00/2021-08-18T17:00:00 || Total Conversaciones:387 || Page: 4
19/08/2021 15:02:49 ==>  Intervalo: 2021-08-18T16:00:00/2021-08-18T17:00:00 || FINALIZADO || Total Conversaciones: 387
19/08/2021 15:03:13 ==>  Ejecutando Intervalo: 2021-08-18T17:00:00/2021-08-18T18:00:00 || Total Conversaciones:324 || Page: 1
19/08/2021 15:03:22 ==>  Ejecutando Intervalo: 2021-08-18T17:00:00/2021-08-18T18:00:00 || Total Conversaciones:324 || Page: 2
19/08/2021 15:03:31 ==>  Ejecutando Intervalo: 2021-08-18T17:00:00/2021-08-18T18:00:00 || Total Conversaciones:324 || Page: 3
19/08/2021 15:03:40 ==>  Ejecutando Intervalo: 2021-08-18T17:00:00/2021-08-18T18:00:00 || Total Conversaciones:324 || Page: 4
19/08/2021 15:03:42 ==>  Intervalo: 2021-08-18T17:00:00/2021-08-18T18:00:00 || FINALIZADO || Total Conversaciones: 324
19/08/2021 15:04:33 ==>  Ejecutando Intervalo: 2021-08-18T18:00:00/2021-08-18T19:00:00 || Total Conversaciones:98 || Page: 1
19/08/2021 15:04:40 ==>  Intervalo: 2021-08-18T18:00:00/2021-08-18T19:00:00 || FINALIZADO || Total Conversaciones: 98
19/08/2021 15:05:12 ==>  Ejecutando Intervalo: 2021-08-18T19:00:00/2021-08-18T20:00:00 || Total Conversaciones:204 || Page: 1
19/08/2021 15:05:21 ==>  Ejecutando Intervalo: 2021-08-18T19:00:00/2021-08-18T20:00:00 || Total Conversaciones:204 || Page: 2
19/08/2021 15:05:29 ==>  Ejecutando Intervalo: 2021-08-18T19:00:00/2021-08-18T20:00:00 || Total Conversaciones:204 || Page: 3
19/08/2021 15:05:29 ==>  Intervalo: 2021-08-18T19:00:00/2021-08-18T20:00:00 || FINALIZADO || Total Conversaciones: 204
19/08/2021 15:05:41 ==>  Ejecutando Intervalo: 2021-08-18T20:00:00/2021-08-18T21:00:00 || Total Conversaciones:406 || Page: 1
19/08/2021 15:05:49 ==>  Ejecutando Intervalo: 2021-08-18T20:00:00/2021-08-18T21:00:00 || Total Conversaciones:406 || Page: 2
19/08/2021 15:05:58 ==>  Ejecutando Intervalo: 2021-08-18T20:00:00/2021-08-18T21:00:00 || Total Conversaciones:406 || Page: 3
19/08/2021 15:06:07 ==>  Ejecutando Intervalo: 2021-08-18T20:00:00/2021-08-18T21:00:00 || Total Conversaciones:406 || Page: 4
19/08/2021 15:06:14 ==>  Ejecutando Intervalo: 2021-08-18T20:00:00/2021-08-18T21:00:00 || Total Conversaciones:406 || Page: 5
19/08/2021 15:06:15 ==>  Intervalo: 2021-08-18T20:00:00/2021-08-18T21:00:00 || FINALIZADO || Total Conversaciones: 406
19/08/2021 15:06:31 ==>  Ejecutando Intervalo: 2021-08-18T21:00:00/2021-08-18T22:00:00 || Total Conversaciones:375 || Page: 1
19/08/2021 15:06:39 ==>  Ejecutando Intervalo: 2021-08-18T21:00:00/2021-08-18T22:00:00 || Total Conversaciones:375 || Page: 2
19/08/2021 15:06:49 ==>  Ejecutando Intervalo: 2021-08-18T21:00:00/2021-08-18T22:00:00 || Total Conversaciones:375 || Page: 3
19/08/2021 15:06:58 ==>  Ejecutando Intervalo: 2021-08-18T21:00:00/2021-08-18T22:00:00 || Total Conversaciones:375 || Page: 4
19/08/2021 15:07:03 ==>  Intervalo: 2021-08-18T21:00:00/2021-08-18T22:00:00 || FINALIZADO || Total Conversaciones: 375
19/08/2021 15:07:17 ==>  Ejecutando Intervalo: 2021-08-18T22:00:00/2021-08-18T23:00:00 || Total Conversaciones:547 || Page: 1
19/08/2021 15:07:26 ==>  Ejecutando Intervalo: 2021-08-18T22:00:00/2021-08-18T23:00:00 || Total Conversaciones:547 || Page: 2
19/08/2021 15:07:35 ==>  Ejecutando Intervalo: 2021-08-18T22:00:00/2021-08-18T23:00:00 || Total Conversaciones:547 || Page: 3
19/08/2021 15:07:45 ==>  Ejecutando Intervalo: 2021-08-18T22:00:00/2021-08-18T23:00:00 || Total Conversaciones:547 || Page: 4
19/08/2021 15:07:54 ==>  Ejecutando Intervalo: 2021-08-18T22:00:00/2021-08-18T23:00:00 || Total Conversaciones:547 || Page: 5
19/08/2021 15:08:03 ==>  Ejecutando Intervalo: 2021-08-18T22:00:00/2021-08-18T23:00:00 || Total Conversaciones:547 || Page: 6
19/08/2021 15:08:06 ==>  Intervalo: 2021-08-18T22:00:00/2021-08-18T23:00:00 || FINALIZADO || Total Conversaciones: 547
19/08/2021 15:08:42 ==>  Ejecutando Intervalo: 2021-08-18T23:00:00/2021-08-19T00:00:00 || Total Conversaciones:27 || Page: 1
19/08/2021 15:08:44 ==>  Intervalo: 2021-08-18T23:00:00/2021-08-19T00:00:00 || FINALIZADO || Total Conversaciones: 27
19/08/2021 15:08:56 ==>  Ejecutando Intervalo: 2021-08-19T00:00:00/2021-08-19T01:00:00 || Total Conversaciones:0 || Page: 1
19/08/2021 15:09:06 ==>  Ejecutando Intervalo: 2021-08-19T03:00:00/2021-08-19T04:00:00 || Total Conversaciones:0 || Page: 1
19/08/2021 15:09:15 ==>  Ejecutando Intervalo: 2021-08-19T04:00:00/2021-08-19T05:00:00 || Total Conversaciones:0 || Page: 1
19/08/2021 15:09:27 ==>  Ejecutando Intervalo: 2021-08-19T09:00:00/2021-08-19T10:00:00 || Total Conversaciones:0 || Page: 1
19/08/2021 15:09:34 ==>  Ejecutando Intervalo: 2021-08-19T12:00:00/2021-08-19T13:00:00 || Total Conversaciones:0 || Page: 1
19/08/2021 15:09:42 ==>  Ejecutando Intervalo: 2021-08-19T13:00:00/2021-08-19T14:00:00 || Total Conversaciones:121 || Page: 1
19/08/2021 15:09:50 ==>  Ejecutando Intervalo: 2021-08-19T13:00:00/2021-08-19T14:00:00 || Total Conversaciones:121 || Page: 2
19/08/2021 15:09:51 ==>  Intervalo: 2021-08-19T13:00:00/2021-08-19T14:00:00 || FINALIZADO || Total Conversaciones: 121
19/08/2021 15:10:00 ==>  Ejecutando Intervalo: 2021-08-19T14:00:00/2021-08-19T15:00:00 || Total Conversaciones:237 || Page: 1
19/08/2021 15:10:10 ==>  Ejecutando Intervalo: 2021-08-19T14:00:00/2021-08-19T15:00:00 || Total Conversaciones:237 || Page: 2
19/08/2021 15:10:17 ==>  Ejecutando Intervalo: 2021-08-19T14:00:00/2021-08-19T15:00:00 || Total Conversaciones:237 || Page: 3
19/08/2021 15:10:20 ==>  Intervalo: 2021-08-19T14:00:00/2021-08-19T15:00:00 || FINALIZADO || Total Conversaciones: 237
19/08/2021 15:10:30 ==>  Ejecutando Intervalo: 2021-08-19T15:00:00/2021-08-19T16:00:00 || Total Conversaciones:369 || Page: 1
19/08/2021 15:10:38 ==>  Ejecutando Intervalo: 2021-08-19T15:00:00/2021-08-19T16:00:00 || Total Conversaciones:369 || Page: 2
19/08/2021 15:10:47 ==>  Ejecutando Intervalo: 2021-08-19T15:00:00/2021-08-19T16:00:00 || Total Conversaciones:369 || Page: 3
19/08/2021 15:10:55 ==>  Ejecutando Intervalo: 2021-08-19T15:00:00/2021-08-19T16:00:00 || Total Conversaciones:369 || Page: 4
19/08/2021 15:11:00 ==>  Intervalo: 2021-08-19T15:00:00/2021-08-19T16:00:00 || FINALIZADO || Total Conversaciones: 369
19/08/2021 15:11:24 ==>  Ejecutando Intervalo: 2021-08-19T16:00:00/2021-08-19T17:00:00 || Total Conversaciones:751 || Page: 1
19/08/2021 15:11:33 ==>  Ejecutando Intervalo: 2021-08-19T16:00:00/2021-08-19T17:00:00 || Total Conversaciones:751 || Page: 2
19/08/2021 15:11:42 ==>  Ejecutando Intervalo: 2021-08-19T16:00:00/2021-08-19T17:00:00 || Total Conversaciones:751 || Page: 3
19/08/2021 15:11:50 ==>  Ejecutando Intervalo: 2021-08-19T16:00:00/2021-08-19T17:00:00 || Total Conversaciones:751 || Page: 4
19/08/2021 15:12:00 ==>  Ejecutando Intervalo: 2021-08-19T16:00:00/2021-08-19T17:00:00 || Total Conversaciones:751 || Page: 5
19/08/2021 15:12:12 ==>  Ejecutando Intervalo: 2021-08-19T16:00:00/2021-08-19T17:00:00 || Total Conversaciones:751 || Page: 6
19/08/2021 15:12:20 ==>  Ejecutando Intervalo: 2021-08-19T16:00:00/2021-08-19T17:00:00 || Total Conversaciones:751 || Page: 7
19/08/2021 15:12:28 ==>  Ejecutando Intervalo: 2021-08-19T16:00:00/2021-08-19T17:00:00 || Total Conversaciones:751 || Page: 8
19/08/2021 15:12:31 ==>  Intervalo: 2021-08-19T16:00:00/2021-08-19T17:00:00 || FINALIZADO || Total Conversaciones: 751
19/08/2021 15:12:42 ==>  Ejecutando Intervalo: 2021-08-19T17:00:00/2021-08-19T18:00:00 || Total Conversaciones:742 || Page: 1
19/08/2021 15:12:52 ==>  Ejecutando Intervalo: 2021-08-19T17:00:00/2021-08-19T18:00:00 || Total Conversaciones:742 || Page: 2
19/08/2021 15:13:00 ==>  Ejecutando Intervalo: 2021-08-19T17:00:00/2021-08-19T18:00:00 || Total Conversaciones:742 || Page: 3
19/08/2021 15:13:09 ==>  Ejecutando Intervalo: 2021-08-19T17:00:00/2021-08-19T18:00:00 || Total Conversaciones:742 || Page: 4
19/08/2021 15:13:18 ==>  Ejecutando Intervalo: 2021-08-19T17:00:00/2021-08-19T18:00:00 || Total Conversaciones:742 || Page: 5
19/08/2021 15:13:27 ==>  Ejecutando Intervalo: 2021-08-19T17:00:00/2021-08-19T18:00:00 || Total Conversaciones:742 || Page: 6
19/08/2021 15:13:35 ==>  Ejecutando Intervalo: 2021-08-19T17:00:00/2021-08-19T18:00:00 || Total Conversaciones:742 || Page: 7
19/08/2021 15:13:43 ==>  Ejecutando Intervalo: 2021-08-19T17:00:00/2021-08-19T18:00:00 || Total Conversaciones:742 || Page: 8
19/08/2021 15:13:46 ==>  Intervalo: 2021-08-19T17:00:00/2021-08-19T18:00:00 || FINALIZADO || Total Conversaciones: 742
19/08/2021 15:42:31 ==>  Ejecutando Intervalo: 2021-08-19T18:00:00/2021-08-19T19:00:00 || Total Conversaciones:252 || Page: 1
19/08/2021 15:42:39 ==>  Ejecutando Intervalo: 2021-08-19T18:00:00/2021-08-19T19:00:00 || Total Conversaciones:252 || Page: 2
19/08/2021 15:42:48 ==>  Ejecutando Intervalo: 2021-08-19T18:00:00/2021-08-19T19:00:00 || Total Conversaciones:252 || Page: 3
19/08/2021 15:42:53 ==>  Intervalo: 2021-08-19T18:00:00/2021-08-19T19:00:00 || FINALIZADO || Total Conversaciones: 252
19/08/2021 16:43:50 ==>  Ejecutando Intervalo: 2021-08-12T20:00:00/2021-08-12T21:00:00 || Total Conversaciones:6 || Page: 1
19/08/2021 16:43:51 ==>  Intervalo: 2021-08-12T20:00:00/2021-08-12T21:00:00 || FINALIZADO || Total Conversaciones: 6
19/08/2021 16:44:23 ==>  Ejecutando Intervalo: 2021-08-12T21:00:00/2021-08-12T22:00:00 || Total Conversaciones:15 || Page: 1
19/08/2021 16:44:24 ==>  Intervalo: 2021-08-12T21:00:00/2021-08-12T22:00:00 || FINALIZADO || Total Conversaciones: 15
19/08/2021 16:45:54 ==>  Ejecutando Intervalo: 2021-08-11T21:00:00/2021-08-11T22:00:00 || Total Conversaciones:53 || Page: 1
19/08/2021 16:45:58 ==>  Intervalo: 2021-08-11T21:00:00/2021-08-11T22:00:00 || FINALIZADO || Total Conversaciones: 53
19/08/2021 16:56:05 ==>  Ejecutando Intervalo: 2021-08-19T19:00:00/2021-08-19T20:00:00 || Total Conversaciones:808 || Page: 1
19/08/2021 16:56:17 ==>  Ejecutando Intervalo: 2021-08-19T19:00:00/2021-08-19T20:00:00 || Total Conversaciones:808 || Page: 2
19/08/2021 16:56:28 ==>  Ejecutando Intervalo: 2021-08-19T19:00:00/2021-08-19T20:00:00 || Total Conversaciones:808 || Page: 3
19/08/2021 16:56:37 ==>  Ejecutando Intervalo: 2021-08-19T19:00:00/2021-08-19T20:00:00 || Total Conversaciones:808 || Page: 4
19/08/2021 16:56:48 ==>  Ejecutando Intervalo: 2021-08-19T19:00:00/2021-08-19T20:00:00 || Total Conversaciones:808 || Page: 5
19/08/2021 16:56:58 ==>  Ejecutando Intervalo: 2021-08-19T19:00:00/2021-08-19T20:00:00 || Total Conversaciones:808 || Page: 6
19/08/2021 16:57:07 ==>  Ejecutando Intervalo: 2021-08-19T19:00:00/2021-08-19T20:00:00 || Total Conversaciones:808 || Page: 7
19/08/2021 16:57:17 ==>  Ejecutando Intervalo: 2021-08-19T19:00:00/2021-08-19T20:00:00 || Total Conversaciones:808 || Page: 8
19/08/2021 16:57:25 ==>  Ejecutando Intervalo: 2021-08-19T19:00:00/2021-08-19T20:00:00 || Total Conversaciones:808 || Page: 9
19/08/2021 16:57:26 ==>  Intervalo: 2021-08-19T19:00:00/2021-08-19T20:00:00 || FINALIZADO || Total Conversaciones: 808
19/08/2021 16:59:30 ==>  Ejecutando Intervalo: 2021-08-19T20:00:00/2021-08-19T21:00:00 || Total Conversaciones:613 || Page: 1
19/08/2021 16:59:41 ==>  Ejecutando Intervalo: 2021-08-19T20:00:00/2021-08-19T21:00:00 || Total Conversaciones:613 || Page: 2
19/08/2021 16:59:53 ==>  Ejecutando Intervalo: 2021-08-19T20:00:00/2021-08-19T21:00:00 || Total Conversaciones:613 || Page: 3
19/08/2021 17:00:02 ==>  Ejecutando Intervalo: 2021-08-19T20:00:00/2021-08-19T21:00:00 || Total Conversaciones:613 || Page: 4
19/08/2021 17:00:11 ==>  Ejecutando Intervalo: 2021-08-19T20:00:00/2021-08-19T21:00:00 || Total Conversaciones:613 || Page: 5
19/08/2021 17:00:20 ==>  Ejecutando Intervalo: 2021-08-19T20:00:00/2021-08-19T21:00:00 || Total Conversaciones:613 || Page: 6
19/08/2021 17:00:28 ==>  Ejecutando Intervalo: 2021-08-19T20:00:00/2021-08-19T21:00:00 || Total Conversaciones:613 || Page: 7
19/08/2021 17:00:29 ==>  Intervalo: 2021-08-19T20:00:00/2021-08-19T21:00:00 || FINALIZADO || Total Conversaciones: 613
19/08/2021 17:52:48 ==>  Ejecutando Intervalo: 2021-08-18T22:00:00/2021-08-18T23:00:00 || Total Conversaciones:547 || Page: 1
19/08/2021 17:52:58 ==>  Ejecutando Intervalo: 2021-08-18T22:00:00/2021-08-18T23:00:00 || Total Conversaciones:547 || Page: 2
19/08/2021 17:53:07 ==>  Ejecutando Intervalo: 2021-08-18T22:00:00/2021-08-18T23:00:00 || Total Conversaciones:547 || Page: 3
19/08/2021 17:53:16 ==>  Ejecutando Intervalo: 2021-08-18T22:00:00/2021-08-18T23:00:00 || Total Conversaciones:547 || Page: 4
19/08/2021 17:53:24 ==>  Ejecutando Intervalo: 2021-08-18T22:00:00/2021-08-18T23:00:00 || Total Conversaciones:547 || Page: 5
19/08/2021 17:53:33 ==>  Ejecutando Intervalo: 2021-08-18T22:00:00/2021-08-18T23:00:00 || Total Conversaciones:547 || Page: 6
19/08/2021 17:53:37 ==>  Intervalo: 2021-08-18T22:00:00/2021-08-18T23:00:00 || FINALIZADO || Total Conversaciones: 547
19/08/2021 18:06:26 ==>  Ejecutando Intervalo: 2021-08-18T17:00:00/2021-08-18T18:00:00 || Total Conversaciones:324 || Page: 1
19/08/2021 18:06:36 ==>  Ejecutando Intervalo: 2021-08-18T17:00:00/2021-08-18T18:00:00 || Total Conversaciones:324 || Page: 2
19/08/2021 18:06:46 ==>  Ejecutando Intervalo: 2021-08-18T17:00:00/2021-08-18T18:00:00 || Total Conversaciones:324 || Page: 3
19/08/2021 18:06:56 ==>  Ejecutando Intervalo: 2021-08-18T17:00:00/2021-08-18T18:00:00 || Total Conversaciones:324 || Page: 4
19/08/2021 18:07:01 ==>  Intervalo: 2021-08-18T17:00:00/2021-08-18T18:00:00 || FINALIZADO || Total Conversaciones: 324
19/08/2021 18:07:22 ==>  Ejecutando Intervalo: 2021-08-18T19:00:00/2021-08-18T20:00:00 || Total Conversaciones:204 || Page: 1
19/08/2021 18:07:42 ==>  Ejecutando Intervalo: 2021-08-18T19:00:00/2021-08-18T20:00:00 || Total Conversaciones:204 || Page: 2
19/08/2021 18:07:50 ==>  Ejecutando Intervalo: 2021-08-18T19:00:00/2021-08-18T20:00:00 || Total Conversaciones:204 || Page: 3
19/08/2021 18:07:51 ==>  Intervalo: 2021-08-18T19:00:00/2021-08-18T20:00:00 || FINALIZADO || Total Conversaciones: 204
19/08/2021 18:08:03 ==>  Ejecutando Intervalo: 2021-08-18T21:00:00/2021-08-18T22:00:00 || Total Conversaciones:375 || Page: 1
19/08/2021 18:08:12 ==>  Ejecutando Intervalo: 2021-08-18T21:00:00/2021-08-18T22:00:00 || Total Conversaciones:375 || Page: 2
19/08/2021 18:08:23 ==>  Ejecutando Intervalo: 2021-08-18T21:00:00/2021-08-18T22:00:00 || Total Conversaciones:375 || Page: 3
