******************      Log   20210812       ******************
12/08/2021 17:54:48 ==>  Ejecutando Intervalo: 2021-08-11T20:00:00/2021-08-11T21:00:00 || Total Conversaciones:96 || Page: 1
12/08/2021 17:54:56 ==>  Intervalo: 2021-08-11T20:00:00/2021-08-11T21:00:00 || FINALIZADO || Total Conversaciones: 96
12/08/2021 17:55:44 ==>  Ejecutando Intervalo: 2021-08-11T21:00:00/2021-08-11T22:00:00 || Total Conversaciones:76 || Page: 1
12/08/2021 17:55:50 ==>  Intervalo: 2021-08-11T21:00:00/2021-08-11T22:00:00 || FINALIZADO || Total Conversaciones: 76
12/08/2021 17:58:01 ==>  Ejecutando Intervalo: 2021-08-11T21:00:00/2021-08-11T22:00:00 || Total Conversaciones:76 || Page: 1
12/08/2021 18:00:28 ==>  Ejecutando Intervalo: 2021-08-11T21:00:00/2021-08-11T22:00:00 || Total Conversaciones:76 || Page: 1
12/08/2021 18:10:53 ==>  Ejecutando Intervalo: 2021-08-11T20:00:00/2021-08-11T21:00:00 || Total Conversaciones:96 || Page: 1
12/08/2021 18:11:33 ==>  Ejecutando Intervalo: 2021-08-11T20:00:00/2021-08-11T21:00:00 || Total Conversaciones:96 || Page: 1
12/08/2021 18:11:46 ==>  Intervalo: 2021-08-11T20:00:00/2021-08-11T21:00:00 || FINALIZADO || Total Conversaciones: 96
12/08/2021 18:12:10 ==>  Ejecutando Intervalo: 2021-08-11T21:00:00/2021-08-11T22:00:00 || Total Conversaciones:76 || Page: 1
12/08/2021 18:12:16 ==>  Intervalo: 2021-08-11T21:00:00/2021-08-11T22:00:00 || FINALIZADO || Total Conversaciones: 76
12/08/2021 18:24:04 ==>  Ejecutando Intervalo: 2021-08-12T21:00:00/2021-08-12T22:00:00 || Total Conversaciones:15 || Page: 1
12/08/2021 18:24:05 ==>  Intervalo: 2021-08-12T21:00:00/2021-08-12T22:00:00 || FINALIZADO || Total Conversaciones: 15
12/08/2021 18:35:37 ==>  Ejecutando Intervalo: 2021-08-11T21:00:00/2021-08-11T22:00:00 || Total Conversaciones:76 || Page: 1
12/08/2021 18:41:26 ==>  Ejecutando Intervalo: 2021-08-11T20:00:00/2021-08-11T21:00:00 || Total Conversaciones:96 || Page: 1
12/08/2021 18:42:22 ==>  Ejecutando Intervalo: 2021-08-11T20:00:00/2021-08-11T21:00:00 || Total Conversaciones:96 || Page: 1
12/08/2021 18:42:35 ==>  Intervalo: 2021-08-11T20:00:00/2021-08-11T21:00:00 || FINALIZADO || Total Conversaciones: 96
12/08/2021 18:42:43 ==>  Ejecutando Intervalo: 2021-08-11T21:00:00/2021-08-11T22:00:00 || Total Conversaciones:76 || Page: 1
12/08/2021 18:42:49 ==>  Intervalo: 2021-08-11T21:00:00/2021-08-11T22:00:00 || FINALIZADO || Total Conversaciones: 76
12/08/2021 18:43:29 ==>  Ejecutando Intervalo: 2021-08-12T21:00:00/2021-08-12T22:00:00 || Total Conversaciones:15 || Page: 1
12/08/2021 18:43:30 ==>  Intervalo: 2021-08-12T21:00:00/2021-08-12T22:00:00 || FINALIZADO || Total Conversaciones: 15
12/08/2021 19:33:35 ==>  Ejecutando Intervalo: 2021-08-12T21:00:00/2021-08-12T22:00:00 || Total Conversaciones:15 || Page: 1
12/08/2021 20:36:57 ==>  Ejecutando Intervalo: 2021-08-12T19:00:00/2021-08-12T20:00:00 || Total Conversaciones:2 || Page: 1
12/08/2021 20:37:07 ==>  Intervalo: 2021-08-12T19:00:00/2021-08-12T20:00:00 || FINALIZADO || Total Conversaciones: 2
